Latitude,Longitude,Date
44.8982391,-117.7791061,2004-07-12
44.6637001,-123.5997009,1964-04-03
44.6651993,-123.600502,1982-09-10
44.5477982,-123.2629013,2002-08-29
45.4099998,-122.5699997,1977-06-10
45.1232185,-122.7060318,1972-06-10
45.104641,-122.7182465,1969-04-15
46.1520004,-123.8690033,1998-06-18
46.0990448,-123.8853149,1963-10-22
46.0899963,-123.7700043,1957-10-20
45.9799995,-123.4779968,1977-07-14
46.0960007,-123.5169983,1988-08-11
45.8919983,-123.8099976,1980-01-03
46.0050011,-123.6930008,1976-11-16
46.1351051,-123.6800003,1990-09-20
46.1057777,-123.6593018,1984-06-05
46.1329994,-123.6740036,1988-03-09
46.105999,-123.6740036,2012-01-13
46.105999,-123.6740036,1972-05-19
45.9900017,-123.4759979,2005-05-11
45.9591255,-123.5563049,1987-12-27
46.0173111,-123.3859634,1964-08-01
46.0324554,-123.4326019,1960-07-18
46.0324554,-123.4326019,1960-10-02
45.8959999,-123.5090027,1957-01-16
46.0324554,-123.5769043,2015-08-02
45.9921188,-123.3756638,1960-11-28
45.9921188,-123.3756638,1989-08-03
46.1380005,-123.4380035,1995-12-09
46.1351051,-123.4326019,2015-07-08
45.9687004,-123.3679199,1999-03-11
45.9591255,-123.3707047,2006-08-28
45.7459984,-122.9599991,1961-05-04
46.0499992,-123.1190033,2004-03-22
45.9903793,-123.2190094,2013-05-29
45.8515015,-123.0903015,1954-07-03
46.0193062,-123.2711258,1999-02-15
46.0082092,-123.2653885,1982-06-08
46.02182,-123.281,1955-04-13
46.02182,-123.281,1997-07-07
46.0148201,-123.2757721,2000-12-23
46.0094986,-123.2814789,1974-06-23
46.0094986,-123.2814789,1969-10-16
46.0242882,-123.2927475,1975-10-21
46.0242882,-123.2927475,1980-08-02
46.0177841,-123.3088989,2003-04-10
46.0031242,-123.2882996,2015-05-20
46.0172768,-123.2890549,1989-03-26
46.0172691,-123.2882538,1963-08-17
46.0172691,-123.2882538,1955-01-06
46.0324554,-123.3088989,2004-12-18
45.9737968,-123.2264023,1966-01-14
45.9724808,-123.241272,1997-02-08
46.0177841,-123.2882996,2012-03-31
46.0040817,-123.28302,1997-08-26
46.0324554,-123.2470016,1994-08-20
46.0318069,-123.2946396,2013-02-14
46.0177841,-123.2677002,1959-04-14
46.0051613,-123.2577667,2008-09-14
46.0051613,-123.2577667,1977-02-19
46.0031242,-123.2470016,1968-01-18
46.0031242,-123.2882996,2011-04-08
46.0031242,-123.2470016,1960-06-02
46.0177841,-123.2677002,2013-09-05
45.9444656,-123.2264023,2010-02-13
45.9591255,-123.2264023,1998-12-22
45.9978485,-123.1695938,2000-05-16
45.9884567,-123.1852036,1970-04-18
45.9884567,-123.2470016,1985-06-15
45.8619232,-123.0974045,1969-10-12
45.8759689,-123.1216583,2016-01-27
45.9591255,-123.2470016,1971-01-05
45.9591255,-123.2264023,2015-02-04
46.0113678,-123.2761002,1976-07-30
46.0113678,-123.2761002,1972-03-24
45.9684296,-123.2115631,1999-01-18
45.9887695,-123.2535934,1982-08-14
45.9884567,-123.2677002,1978-09-03
45.9778519,-123.2422485,1957-02-22
45.9778519,-123.2422485,1950-01-20
45.9215584,-123.2671967,1987-02-13
46.0177841,-123.2882996,1992-09-22
46.0306931,-123.287468,2007-01-28
46.0176582,-123.2593307,1984-10-11
46.0176582,-123.2593307,2009-09-04
46.0356789,-123.2380981,2015-08-26
46.0177841,-123.2470016,1988-05-09
46.0031242,-123.2882996,1982-11-03
46.0301895,-123.2993393,2011-10-25
46.0177841,-123.2882996,1994-05-26
46.0335083,-123.2857971,2002-07-24
46.0031242,-123.2470016,1993-03-19
46.0031242,-123.2882996,1988-12-31
46.0177841,-123.2470016,1954-01-29
46.0016098,-123.2429276,2014-01-03
46.0142784,-123.2486572,1971-12-25
46.0471153,-123.2882996,2003-05-26
46.0421982,-123.2913971,2013-06-19
46.0471153,-123.2882996,1955-11-30
46.0471153,-123.2882996,2003-05-27
46.0535507,-123.3195724,1999-08-21
46.0216904,-123.3138123,1985-06-28
46.0216904,-123.3138123,2009-07-02
46.0324554,-123.3295059,1977-02-24
46.0324554,-123.2882996,2007-08-07
46.0324554,-123.3088989,1954-06-02
46.0324554,-123.2882996,1980-03-24
46.0177841,-123.2470016,1959-03-22
46.0307617,-123.2743835,1959-12-05
46.0307617,-123.2743835,1994-06-15
45.9645309,-123.1684418,2015-08-25
45.9886589,-123.2598114,1991-10-30
45.9987488,-123.2314987,1958-02-06
45.9987488,-123.2314987,2015-05-31
45.9716988,-123.2234802,1988-08-29
46.0276299,-123.2751923,1977-05-20
46.0324554,-123.2470016,1979-10-06
46.0370407,-123.2276764,1978-06-24
46.0370407,-123.2276764,1959-04-02
46.0370407,-123.2276764,2005-11-03
45.9934196,-123.209137,1961-06-21
45.9934196,-123.209137,1970-02-21
46.0324554,-123.2264023,1960-03-13
46.0471153,-123.2882996,2005-08-24
46.0312004,-123.2075882,2002-04-22
45.96,-123.25,1967-05-16
46.0202637,-123.2883911,1965-02-19
46.029995,-123.3300018,2010-11-17
46.0292015,-123.2524338,1966-05-26
46.0298386,-123.251091,1951-11-10
45.9999962,-123.2700043,2010-04-08
46.0514488,-123.3245468,1982-06-09
45.8858032,-123.1440048,1953-08-17
46.0471153,-123.3295059,1957-10-04
46.0409088,-123.3303833,1965-04-08
46.0409088,-123.3303833,2016-02-26
46.0409088,-123.3303833,1950-11-16
46.0120888,-123.211319,1950-01-28
46.049469,-123.3195724,1963-12-08
46.049469,-123.3195724,2007-09-18
46.0324554,-123.2677002,1950-08-07
46.0001488,-123.2807007,2008-11-19
46.0277405,-123.2433701,1960-09-17
46.0366402,-123.2581787,2001-04-24
46.0366402,-123.2581787,1959-10-19
46.0471153,-123.3295059,1989-09-07
46.0487785,-123.3099136,1991-04-14
46.0487785,-123.3099136,2016-04-05
46.0571785,-123.3062134,1988-08-30
46.0378914,-123.33638,1991-10-01
46.0304184,-123.3213882,1995-11-11
45.8899956,-123.1440048,1992-02-04
45.8899994,-123.1400375,1969-08-28
46.0031242,-123.2882996,1964-11-08
46.0177841,-123.3088989,2014-10-08
45.9591255,-123.1852036,1964-06-20
45.9884567,-123.1440048,1978-04-17
46.0031242,-123.2470016,1983-01-27
46.0471153,-123.2470016,2002-08-13
46.0068016,-123.2753067,1966-05-08
46.0457535,-123.2998581,1978-06-16
46.0617867,-123.3088989,1998-06-10
45.9591255,-123.2677002,2014-05-05
46.0412483,-123.318779,1962-11-04
46.0177841,-123.2470016,1969-10-20
46.0243797,-123.2426834,1950-06-22
45.9893837,-123.2923737,1995-12-15
45.9935913,-123.2072678,1995-06-24
45.9740906,-123.1446762,1953-04-09
45.998291,-123.294342,1952-12-04
46.0031242,-123.3088989,1957-03-26
46.0500984,-123.289093,1997-07-05
46.0500984,-123.289093,1958-03-11
46.0471153,-123.2882996,2009-01-12
45.9890251,-123.2816162,1953-01-22
45.9799957,-123.2900009,1991-03-02
45.9687004,-123.1829987,1968-12-09
45.97472,-123.2797089,1982-08-25
46.1324005,-123.2536011,2007-08-08
46.0253716,-123.2963028,1975-09-04
46.0307808,-123.3099289,1962-08-04
45.9884567,-123.2677002,1990-04-14
45.9594688,-123.2475662,1992-10-02
45.9884567,-123.2058029,2001-05-13
45.9909096,-123.2794876,1960-03-10
46.0177841,-123.2882996,1955-05-06
45.9980507,-123.3058548,2010-09-24
45.9838066,-123.3014603,2004-06-19
45.9596214,-123.2803192,1998-04-19
45.9596214,-123.2803192,2003-01-21
45.8831482,-123.1378632,2003-04-29
46.0474586,-123.2760925,2003-08-30
46.0183601,-123.3268509,1986-03-19
45.9900398,-123.3501816,1984-10-04
45.948288,-123.2473068,1998-02-19
45.973793,-123.3088989,1973-08-18
45.9711685,-123.309288,1958-09-20
45.973793,-123.3088989,1989-09-05
45.9822311,-123.2999115,1971-10-16
45.973793,-123.3088989,2001-11-03
